"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"KKMJ-FM","Austin","Adult Contemporary","","Yes","HD2:Talk-Talk Radio 1370 AM / HD3:Classic Country-Austin's 95.9 Texas Country","Audacy","",
"KKMK-FM","","Hot AC","","No","","HomeSlice Media Group, LLC","",
"KKMO-AM","Seattle-Tacoma","Spanish Regional Mexican","","No","","Sea-Mar Community Health Center","",
"KKMV-FM","","Country","","No","","Lee Family Broadcasting, Inc.","",
"KKMX-FM","","Adult Hits","","No","","Brooke Communications, Inc.","",
"KKMY-FM","Beaumont-Port Arthur, TX","Rhythmic-CHR","","Yes","HD2:Urban Contemporary-103.3 The Beat","iHeartMedia, Inc.","",
"KIBZ-FM","Lincoln","Rock","","No","","Connoisseur Media, LLC","",
"KFFN-AM","Tucson","Sports","","No","","Lotus Communications Corp.","",
"KKNN-FM","","Rock","","No","","Townsquare Media","",
"KKNO-AM","New Orleans","Talk","WBOKAM","No","","EQUITY MEDIA LLC","",
"KKNU-FM","Eugene-Springfield","Country","","No","","McKenzie River Broadcasting Co., Inc.","",
"KKOB-AM","Albuquerque","News/Talk","KKOBFM","No","","Cumulus Media, Inc.","",
"KOBQ-FM","Albuquerque","CHR","","No","","Cumulus Media, Inc.","",
"KKOH-AM","Reno","Talk","","No","","Cumulus Media, Inc.","",
"KKOJ-AM","","Country","","No","","Community First Broadcasting, LLC","",
"KKOK-FM","","Country","","No","","Tor Ingstad","",
"KELD-FM","","Hot AC","KVMZFM","No","","Noalmark Broadcasting Corp.","",
"KYAT-FM","","Ethnic","","No","","Millennium Media, Inc.","",
"KKOT-FM","","Classic Hits","","No","","Connoisseur Media, LLC","",
"KKOW-AM","","Classic Rock","","No","","American Media Investments, Inc.","",
"KKOW-FM","Joplin, MO","Country","","No","","American Media Investments, Inc.","",
"KKOY-AM","","Country","","No","","Murfin Media, Inc.","",
"KKOY-FM","","Classic Rock","","No","","Murfin Media, Inc.","",
"KKOZ-AM","","News/Talk","KKOZFM","No","","Corum Industries, Inc.","",
"KKOZ-FM","","News/Talk","KKOZAM","No","","Corum Industries, Inc.","",
"KDZA-AM","Pueblo","Classic Hits","KQSCAM","Yes","","Marcos Rodriguez","Mountain Radio Group, Inc.",
"KTRW-AM","Spokane","Religious Teaching","","No","","Read Broadcasting Network","",
"KXPN-AM","Grand Island-Kearney-Hastings, NE","Sports","KICSAM","No","","Flood Communications, Inc.","",
"KKPR-FM","Grand Island-Kearney-Hastings, NE","Classic Hits","","No","","Flood Communications, Inc.","",
"KKPS-FM","McAllen-Brownsville-Harlingen","Spanish CHR","","No","","Entravision Communications Corp.","",
"KKPT-FM","Little Rock","Classic Rock","","No","","Signal Media, Inc.","",
"KKQQ-FM","","Country","","No","","Connoisseur Media, LLC","",
"KKRB-FM","","Soft AC","","No","","Wynne Enterprises, LLC","",
"KTHR-FM","Wichita","Modern/Alternative Rock","","Yes","","iHeartMedia, Inc.","",
"KKRF-FM","Des Moines","Country","","No","","McGee Management Services, LLC","",
"KRSK-FM","Portland, OR","Sports","KRSKAM","Yes","HD2:Hot AC-Channel Q ","Audacy","",
"KCDQ-FM","","Adult Contemporary","","No","","Cochise Broadcasting","",
"KKRL-FM","","Hot AC","","No","","Carroll Broadcasting Co.","",
"KRAK-FM","Anchorage","Classic Hits","","No","","Ohana Media Group, LLC","",
"KKRQ-FM","Cedar Rapids","Classic Rock","","No","","iHeartMedia, Inc.","",
"KKRT-AM","","Sports","KWIQAM","No","","Connoisseur Media, LLC","",
"KKRV-FM","","Country","","Yes","HD2:CHR-La Nueva / HD3:Adult Hits-94.3 Jack FM","Connoisseur Media, LLC","",
"KQBT-FM","Houston-Galveston","Urban Contemporary","","Yes","HD2:Rhythmic-CHR-Pride Radio","iHeartMedia, Inc.","",
"KKRX-AM","","Modern/Alternative Rock","","No","","Mollman Communications","",
"KKRZ-FM","Portland, OR","CHR","","Yes","HD2:Adult Alternative-ALT 102.3","iHeartMedia, Inc.","",
"KKSA-AM","San Angelo, TX","News/Talk","","No","","Foster Communications Co.","",
"KOSF-FM","San Francisco","Classic Hits","","Yes","","iHeartMedia, Inc.","",
"KKSI-FM","","Classic Rock","","No","","O-Town Communications, Inc.","",
"KZSF-AM","San Jose","Spanish Regional Mexican","","No","","Duharte Broadcasting, Inc.","",
"KMTT-AM","Portland, OR","Sports","","No","","Audacy","",
"KYCH-FM","Portland, OR","Adult Hits","","Yes","","Audacy","",
"KZRV-FM","St. Cloud, MN","Classic Hits","","No","","Townsquare Media","",
"KKSS-FM","Albuquerque","Rhythmic-CHR","","No","","American General Media","",
"KCNY-FM","Little Rock","Country","","No","","East Arkansas Broadcasters","Arkansas River Valley Radio, LLC",
"KCBL-AM","Fresno","Sports","","Yes","","iHeartMedia, Inc.","",
"KDOK-AM","Tyler-Longview","Classic Hits","KYZSAM","No","","Chalk Hill Communications, LLC","",
"KKTX-FM","Tyler-Longview","Classic Rock","","No","","Townsquare Media","",
"KKTY-AM","","Classic Hits","","No","","Douglas Broadcasting, Inc.","",
"KKTS-FM","","Hot AC","KKTSAM","No","","Douglas Broadcasting, Inc.","",
"KKTZ-FM","","Hot AC","","No","","Dowdy Broadcasting, Inc.","",
"KKUB-AM","","Spanish Religious Teaching","","No","","La Promesa Foundation","",
"KKUS-FM","Tyler-Longview","Classic Country","","No","","Connoisseur Media, LLC","",
"KKBD-FM","Ft. Smith, AR","Classic Rock","","No","","iHeartMedia, Inc.","",
"KKVV-AM","Las Vegas","Religious Teaching","","No","","Butte Broadcasting Company","",
"KKWQ-FM","","Country","","No","","R & J Broadcasting, Inc.","",
"KKWS-FM","","Country","","No","","Hubbard Broadcasting, Inc.","",
"KKUT-FM","Salt Lake City-Ogden-Provo","Country","","No","HD3:Oldies","Sanpete County Broadcasting Co.","",
"KKXK-FM","","Country","","No","","Townsquare Media","",
"KKXL-AM","","Sports","KFANAM","No","","iHeartMedia, Inc.","",
"KKXL-FM","","CHR","","No","","iHeartMedia, Inc.","",
"KEED-AM","Eugene-Springfield","Classic Country","","No","","Mielke Broadcasting Group","",
"KKXX-AM","Chico, CA","Religious Teaching","","No","","Butte Broadcasting Company","",
"KBFP-FM","Bakersfield","Adult Contemporary","","No","","iHeartMedia, Inc.","",
"KKYA-FM","","Country","","No","","Riverfront Broadcasting, LLC","",
"KDCO-AM","Denver-Boulder","Spanish Religious Teaching","","Yes","HD2:Urban Adult Hits-The Drop 104.7","El Sembrador Ministries","",
"KVOP-AM","","Silent","","No","","High Plains Radio Network, LLC","",
"KRIA-FM","","Silent","","No","","High Plains Radio Network, LLC","",
"KKYR-FM","","Country","","No","","Townsquare Media","",
"KKYS-FM","Bryan-College Station, TX","Hot AC","","No","","iHeartMedia, Inc.","",
"KIOD-FM","","Country","","No","","G.I. Family Radio","",
"KKYX-AM","San Antonio","Classic Country","","Yes","","Cox Media Group","",
"KEJJ-FM","","Classic Hits","","No","","John Harvey Rees","",
"KMXF-FM","Fayetteville (North West Arkansas)","CHR","","No","","iHeartMedia, Inc.","",
"KKZX-FM","Spokane","Classic Rock","","Yes","","iHeartMedia, Inc.","",
"KUNX-AM","Oxnard-Ventura","Spanish Regional Mexican","","No","","Point Broadcasting Co.","",
"KLAA-FM","","Country","","No","","Globecom Media, LLC","",
"KLAC-AM","Los Angeles","Sports","","Yes","","iHeartMedia, Inc.","",
"KLAD-AM","","Sports","","No","","I3G Media, Inc.","",
"KLAD-FM","","Country","","No","","I3G Media, Inc.","",
"KLAK-FM","","Adult Contemporary","","Yes","","Connoisseur Media, LLC","",
"KLAM-AM","","Classic Hits","","No","","Bayview Communications, Inc.","",
"KLAN-FM","","Adult Contemporary","","No","","Glasgow Broadcasting Corp.","",
"KLAQ-FM","El Paso","Rock","","Yes","HD2:Classic Rock-Q2 Album Rock","Townsquare Media","",
"KLAR-AM","Laredo, TX","Spanish Religious Teaching","","No","","Faith and Power Communications, Inc.","",
"KLAT-AM","Houston-Galveston","Spanish Adult Contemporary","","No","","Latino Media Network, LLC","",
"KLAV-AM","Las Vegas","Sports","","No","","Lotus Communications Corp.","",
"KLAW-FM","","Country","","No","","Townsquare Media","",
"KLAX-FM","Los Angeles","Spanish Regional Mexican","","No","","Spanish Broadcasting System","",
"KLAY-AM","Seattle-Tacoma","Religious Teaching","","No","","Sacred Heart Radio, Inc.","",
"KLAZ-FM","Hot Springs, AR","Hot AC","","No","","US Stations, LLC","",
"KIIC-FM","","Classic Country","","No","","Waveguide Communications, Inc.","",
"KMNV-AM","Minneapolis-St. Paul","Spanish Regional Mexican","","No","","Santamaria Broadcasting","",
"KLBC-FM","","Country","","No","","Mid-Continental Broadcasting, LLC","",
"KJMJ-AM","","Religious Teaching","","No","","Radio Maria, Inc.","",
"KLBJ-AM","Austin","Talk","","No","","Sinclair Telecable, Inc.","",
"KLBJ-FM","Austin","Rock","","No","HD2:Rock-No Control Radio","Sinclair Telecable, Inc.","",
"KLBM-AM","","Talk","KBKRAM","No","","Elkhorn Media Group","",
"KKBZ-FM","Fresno","Spanish Rhythmic-CHR","","No","","Lotus Communications Corp.","",
"KCKM-AM","","Classic Country","","No","","Kickin` Country Broadcasting, LLC","",
"KMLK-FM","","Urban Adult Contemporary","","No","","Noalmark Broadcasting Corp.","",
"KLBS-AM","","Ethnic","","No","","VLB Broadcasting","",
"KLCB-AM","","Silent","","No","","NORTHWEST CAPITAL CORPORATION","",
"KLCE-FM","","Adult Contemporary","","No","HD2:Adult Contemporary-Classy 97 / HD3:Contemporary Christian-Sunny 97","Riverbend Communications, LLC","",
"KKGL-FM","Boise","Classic Rock","","No","","Cumulus Media, Inc.","",
"KLCK-AM","","Talk","","No","","Gorge Country Media, Inc.","",
"KLCL-AM","","Talk","","No","","Townsquare Media","",
"KQPZ-FM","","Rock","","No","","Montana Broadcast Communications, Inc.","",
"KFGY-FM","San Francisco","Country","","No","","Sonoma Media Group, LLC","",
"KRHQ-FM","Palm Springs","Classic Rock","","No","","Marker Broadcasting","",
"KMPT-AM","","Talk","","No","","Townsquare Media","",
"KLCY-FM","","Country","","No","","Evans Family Media","",
"KLTT-AM","Denver-Boulder","Religious Teaching","","Yes","","Crawford Broadcasting Co.","",
"KTBZ-FM","Houston-Galveston","Modern/Alternative Rock","","Yes","","iHeartMedia, Inc.","",
"KHAT-AM","","Country","","No","","Wolf Creek Radio Broadcasting, LLC","",
"KLDR-FM","","Hot AC","","No","","Grants Pass Broadcasting Co.","",
"KRKR-FM","Lincoln","Contemporary Christian","KROAFM","No","","My Bridge Radio, Inc.","",
"KLEB-AM","New Orleans","Classic Rock","","No","","Coastal Radio, Inc.","",
"KLEE-AM","","Oldies","","No","","O-Town Communications, Inc.","",
"KLEF-FM","Anchorage","Classical","","No","","Chinook Concert Broadcasters, Inc.","",
"KLEM-AM","Sioux City, IA","Adult Contemporary","","No","","Powell Broadcasting","",
"KLEN-FM","Cheyenne, WY","CHR","","No","","Townsquare Media","",
"KLEO-FM","","Adult Contemporary","KKBGFM","No","","Pacific Media Group, Inc.","",
"KLER-AM","","Country","","No","","Central Idaho Broadcasting","",
"KLER-FM","","Adult Contemporary","","No","","Central Idaho Broadcasting","",
"KLEX-AM","Kansas City","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KLEY-AM","Wichita","Country","","No","","Murfin Media, Inc.","",
"KEXA-FM","Monterey-Salinas-Santa Cruz","Spanish Religious Teaching","","No","","INSPIRATION MEDIA NETWORK, LLC","",
"KWBF-AM","Lubbock","Contemporary Christian","","No","","FLORES COMMUNICATIONS,LLC","",
"KLFD-AM","","Adult Contemporary","","No","","Mid-Minnesota Media, LLC","",
"KLFE-AM","Seattle-Tacoma","Religious Teaching","","No","","Relevant Radio","",
"KRZD-AM","Springfield, MO","Adult Hits","","No","","Murfin Media, Inc.","",
"KLFM-FM","","Classic Hits","","No","","Townsquare Media","",
"KLFX-FM","Killeen-Temple, TX","Rock","","Yes","","iHeartMedia, Inc.","",
"KLGZ-AM","","Country","","No","","A2Z Broadcasting, LLC","",
"KLGA-FM","","Hot AC","","No","","A2Z Broadcasting, LLC","",
"KLGN-AM","","Sports","","No","","Cache Valley Media Group","",
"KLGR-AM","","Country","","No","","Connoisseur Media, LLC","",
"KLGR-FM","","Adult Hits","","No","","Connoisseur Media, LLC","",
"KLGT-FM","","Silent","","No","","Legend Communications, LLC","",
"KORL-FM","Honolulu","Classic Hits","","Yes","HD2:Classic Rock-K-Rock 101.5 / HD3:Urban Contemporary-Retro 97.1 / HD4:Oldies-True Oldies Classics","Hochman Hawaii Communications","",
"KLHT-AM","Honolulu","Religious Teaching","","No","","Calvary Chapel of Honolulu","",
"KLID-AM","","Variety","","No","","Browning Skidmore Broadcasting, Inc.","",
"KLIF-AM","Dallas-Ft. Worth","News/Talk","","Yes","","Cumulus Media, Inc.","",
"KWOS-AM","Columbia, MO","News/Talk","","No","","Zimmer Radio of Mid-Missouri, Inc.","",
"KLIL-FM","","Classic Hits","","No","","Cajun Broadcasting, Inc.","",
"KLIN-AM","Lincoln","News/Talk","","No","","NRG Media, LLC","",
"KLIP-FM","Monroe, LA","Classic Hits","","No","","Holladay Broadcasting of Louisiana, LLC","",
"KLIR-FM","","Soft AC","","No","","Connoisseur Media, LLC","",
"KOYE-FM","Tyler-Longview","Spanish Regional Mexican","KTLHFM","No","","Connoisseur Media, LLC","",
"KLIV-AM","San Jose","Ethnic","","No","","Pham Radio Communication LLC","In-Language Radio",
"KLIX-AM","","News/Talk","","No","","Townsquare Media","",
"KLIX-FM","","Classic Hits","","No","","Townsquare Media","",
"KLIZ-AM","","Sports","","No","","Hubbard Broadcasting, Inc.","",
"KLIZ-FM","St. Cloud, MN","Classic Rock","","No","","Hubbard Broadcasting, Inc.","",
"KKND-FM","New Orleans","Sports","","Yes","","Cumulus Media, Inc.","",
"KLKC-AM","","Sports","","No","","Parsons Media Group, LLC","",
"KLKC-FM","","Adult Hits","","No","","Parsons Media Group, LLC","",
"KWLE-AM","","Format Not Available","","No","","New Age Media Ltd.","",
"KLKK-FM","","Classic Rock","","No","","Coloff Media","",
"KVFZ-FM","Shreveport","Contemporary Christian","","No","","Encouragement Media Group","",
"KLKO-FM","","Adult Hits","","No","","Elko Broadcasting Co.","",
"WZFJ-FM","","Contemporary Christian","","No","","Minnesota Christian Broadcasters, Inc.","",
"KZTB-FM","","Spanish Regional Mexican","KZTAFM","No","","Bustos Media Corporation","",
"KLLA-AM","","Oldies","","No","","Pene Broadcasting Co.","",
"KPWW-FM","","CHR","","No","","Townsquare Media","",
"KLLK-AM","","Silent","","No","","Bicoastal Media, LLC","",
"KMKX-FM","","Classic Rock","","No","","Broadcasting Corporation of Mendocino County","",
"KDAV-AM","Lubbock","Silent","","No","","High Plains Radio Network, LLC","",
"KLLL-FM","Lubbock","Country","","No","","Connoisseur Media, LLC","",
"KBDB-FM","","Adult Contemporary","","Yes","HD2:Classic Country-Forks 1490 / HD3:News/Talk-ForksTalk 96.7 HD 3 / HD4:Spanish Tropical-Los 40 Forks","Forks Broadcasting, Inc.","",
"KBZD-FM","Amarillo, TX","Religious Teaching","KRBGFM","No","HD2:Gospel Music-Worship 24/7 / HD3:Classic Country-Legends 103.9 & 99.7 / HD4:Gospel Music-Gospel Network","RADIO BY GRACE, INC.","",
"KFXJ-FM","Wichita","Classic Rock","","Yes","","SummitMedia, LLC","",
"KLLV-AM","","Religious Teaching","","No","","Daystar Radio, Ltd.","",
"KLLY-FM","Bakersfield","CHR","","No","","Hill Broadcasting","",
"KAKK-AM","","Silent","","No","","De La Hunt Media","",
"KLLZ-FM","","Classic Rock","","No","","Hubbard Broadcasting, Inc.","",
"KLMJ-FM","","Country","","No","","On the Go Media, Inc.","",
"KRCN-AM","Denver-Boulder","Religious Teaching","","No","","Catholic Radio Network, Inc.","",
"KVPC-FM","","Religious Teaching","","No","","VCY America, Inc.","",
"KLMR-AM","","Classic Country","","No","","Riverside Communications, LLC","",
"KLMX-AM","","Country","","No","","Jimmy N. & Melba McCollum","",
"KLNG-AM","Omaha-Council Bluffs","Religious Teaching","","No","","Wilkins Communications","",
"KCLN-AM","","Adult Standards","","No","","Gendreau Broadcasting","",
"KMES-AM","Salt Lake City-Ogden-Provo","Spanish Religious Teaching","","No","","El Sembrador Ministries","",
"KLOA-AM","Bakersfield","Sports","","No","","Adelman Communications, Inc.","",
"KEPD-FM","Bakersfield","Spanish Adult Hits","","No","","Adelman Communications, Inc.","",
"KLOB-FM","Palm Springs","Spanish Regional Mexican","","Yes","","Entravision Communications Corp.","",
"KVIN-AM","Modesto","Ethnic","KOBOAM","No","","Punjabi American Media, LLC","",
"KLOE-AM","","Silent","","No","","Kansas Broadcast Company, LLC","",
"KLOG-AM","","Classic Hits","","No","","Washington Interstate Broadcasters, Inc.","",
"KLOH-AM","","Country","","No","","Christensen Broadcasting","",
"KLOK-AM","San Jose","Ethnic","KOBOAM","Yes","","Punjabi American Media, LLC","",
"KLOK-FM","Monterey-Salinas-Santa Cruz","Spanish Regional Mexican","","No","","Entravision Communications Corp.","",
"KLOL-FM","Houston-Galveston","Spanish Adult Contemporary","","Yes","HD2:Regional Mexican-Fierro","Audacy","",
"KLOO-AM","","Talk","","No","","Bicoastal Media, LLC","",
"KLOR-FM","","Classic Hits","","No","","Team Radio, LLC","",
"KLOS-FM","Los Angeles","Classic Rock","","Yes","HD2:Classic Rock-Best of Heidi & Frank / HD3:Ethnic-KIRN 670 AM","Meruelo Media Holdings, LLC","",
"KLOU-FM","St. Louis","Classic Hits","","Yes","HD2:Jazz","iHeartMedia, Inc.","",
"KXJJ-AM","Ft. Collins-Greeley, CO","Spanish Regional Mexican","","No","","SPANISH MEDIA CONSULTING CORPORATION","",
"KCRV-FM","","Classic Hits","","No","","Pollack Broadcasting Co.","",
"KLOZ-FM","","Hot AC","","No","","Benne Broadcasting Co., LLC","",
"KLPW-AM","St. Louis","Classic Rock","","No","","East Central Broadcasting, LLC","",
"KQDZ-FM","St. Louis","Classic Rock","KBDZFM","No","","East Central Broadcasting, LLC","Donze Communications, Inc.",
"KLPX-FM","Tucson","Classic Rock","","Yes","HD3:Classic Country-93.3 Hank-FM","Lotus Communications Corp.","",
"KTGV-FM","Tucson","R&B Classic","","No","","Bustos Media Corporation","",
"KCLP-FM","Sioux Falls, SD","Rock","","No","","Christensen Broadcasting","",
"KLQP-FM","","Classic Hits","","No","","Adventures on The Air, LLC","",
"KDRS-FM","","Adult Hits","","No","","MOR Media, Inc.","",
"KRGY-FM","Grand Island-Kearney-Hastings, NE","Classic Rock","","No","","G.I. Family Radio","",
"KEHK-FM","Eugene-Springfield","Hot AC","","No","","Cumulus Media, Inc.","",
"KLRQ-FM","Kansas City","Contemporary Christian","","No","","K-Love, Inc.","",
"KLRR-FM","","Adult Alternative","","No","","Combined Communications, Inc.","",
"KBQB-FM","Chico, CA","Adult Hits","","No","","Results Radio, LLC","",
"KLRZ-FM","New Orleans","Urban Contemporary","","No","","Coastal Radio, Inc.","Core Radio Group LLC",
"KTEG-FM","Albuquerque","Modern/Alternative Rock","","Yes","","iHeartMedia, Inc.","",
"KLSR-FM","","Country","","No","","Davis Broadcast Co., Inc.","",
"KLSS-FM","","Adult Contemporary","","No","","Connoisseur Media, LLC","",
"KNX-FM","Los Angeles","News","KNXAM","Yes","HD2:Hot AC-Channel Q / HD3:Adult Hits-Fire Lane","Audacy","",
"KQMV-FM","Seattle-Tacoma","CHR","","Yes","","Hubbard Broadcasting, Inc.","",
"KBBQ-FM","Ft. Smith, AR","Rhythmic-CHR","","No","","Cumulus Media, Inc.","",
"KQWB-FM","Fargo-Moorhead","Rock","","No","","James Ingstad Broadcast Group","",
"KAWO-FM","Boise","Country","","No","","Townsquare Media","",
"KLTC-AM","","Classic Country","","No","","iHeartMedia, Inc.","",
"KLTE-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KLTF-AM","St. Cloud, MN","Talk","","No","","Little Falls Radio Corp.","",
"KLTG-FM","Corpus Christi","Hot AC","","No","","STARLITE BROADCASTING","",
